Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Days upon Outcome
A668443,*Harvest,12/22/13,11:21AM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A349480,Daisy,12/22/13,11:30AM,Return to Owner,,Dog,Spayed Female,11 years,Labrador Retriever Mix,Chocolate,4015
A669282,,12/22/13,11:33AM,Euthanasia,,Other,Unknown,6 months,Raccoon Mix,Brown,180
A669483,Canelo,12/22/13,11:38AM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,365
A665006,Sasha,12/22/13,11:48AM,Adoption,,Dog,Spayed Female,8 months,Border Collie Mix,White/Brown,240
A669119,Jesse James,12/22/13,11:52AM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,730
A664335,Angie,12/22/13,12:37PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,365
A666198,*Sugar,12/22/13,12:56PM,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,90
A668668,*May,12/22/13,12:56PM,Transfer,Partner,Cat,Spayed Female,7 months,Russian Blue Mix,Blue,210
A668782,*Thelonious,12/22/13,12:56PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,120
A668195,*Nite,12/22/13,12:56PM,Transfer,Partner,Cat,Spayed Female,1 year,Bombay Mix,Black,365
A669435,,12/22/13,12:56PM,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,White/Brown,30
A635476,Vince,12/22/13,12:56PM,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby,365
A662131,*Hadley,12/22/13,12:58PM,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie,150
A666819,Stripe,12/22/13,12:58PM,Transfer,Partner,Cat,Neutered Male,3 months,Siamese/Domestic Shorthair,Black,90
A666816,*M Aybelle,12/22/13,12:58PM,Transfer,Partner,Cat,Spayed Female,3 months,Siamese/Domestic Shorthair,Black,90
A669473,Maddox,12/22/13,1:01PM,Return to Owner,,Dog,Intact Male,10 months,Boxer Mix,Brown Brindle/White,300
A669474,Taz,12/22/13,1:03PM,Return to Owner,,Dog,Neutered Male,5 years,Pembroke Welsh Corgi Mix,Yellow/White,1825
A667411,*Hayden,12/22/13,1:53PM,Adoption,,Dog,Neutered Male,1 year,Australian Kelpie Mix,Black/Tan,365
A669536,Bailey,12/22/13,2:01PM,Return to Owner,,Dog,Intact Male,2 years,Labrador Retriever Mix,Tan,730
A669329,,12/22/13,2:14PM,Return to Owner,,Dog,Spayed Female,4 years,Beagle Mix,Tan/White,1460
A668335,*Buddy,12/22/13,2:24PM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan,365
A667185,*Arya,12/22/13,2:58PM,Adoption,,Dog,Spayed Female,2 years,Boston Terrier Mix,Black Brindle/White,730
A667150,*Fara,12/22/13,3:04PM,Adoption,,Dog,Spayed Female,7 years,Jack Russell Terrier/Beagle,White/Brown,2555
A669487,Kiowa,12/22/13,3:07PM,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever/Boxer,Tan,1095
A669468,Ollie,12/22/13,3:18PM,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Red/White,1095
A668658,,12/22/13,3:22PM,Adoption,,Dog,Spayed Female,5 months,Pit Bull Mix,Yellow/White,150
A641486,*Marilyn,12/22/13,3:56PM,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever/Australian Cattle Dog,Black/White,730
A667718,*Nina,12/22/13,4:05PM,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie,180
A667720,*Miles,12/22/13,5:00PM,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White,180
A574282,Blue Eyes,12/22/13,5:01PM,Adoption,Foster,Cat,Neutered Male,4 years,Snowshoe Mix,Lynx Point,1460
A669462,Daisy,12/22/13,5:18PM,Return to Owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White,365
A667927,Sadie,12/22/13,5:20PM,Adoption,,Dog,Spayed Female,1 month,German Shepherd/Mastiff,Tan,30
A669550,,12/22/13,5:25PM,Euthanasia,Suffering,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black,5475
A669551,,12/22/13,5:41PM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Brown,180
A669160,*Princess,12/22/13,5:46PM,Adoption,,Cat,Spayed Female,9 months,Domestic Shorthair Mix,White/Gray Tabby,270
A668809,Skippy Jon,12/22/13,5:50PM,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Brown/White,90
A468026,Shocka,12/22/13,5:53PM,Return to Owner,,Dog,Spayed Female,7 years,Pit Bull Mix,Black Brindle/White,2555
A666921,*Jake,12/22/13,6:04PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,60
A667121,Rockstar,12/22/13,6:09PM,Return to Owner,,Dog,Spayed Female,3 years,Scottish Terrier Mix,Black/White,1095
A665896,*Willow,12/22/13,6:11PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,60
A662256,*Night,12/22/13,6:14PM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,120
A669110,Peewee,12/22/13,6:17PM,Return to Owner,,Dog,Neutered Male,2 years,Dachshund Mix,White/Black,730
A666977,*Jeff,12/22/13,6:21PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,90
A669164,Simba,12/22/13,6:22PM,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Sable,365
A668134,,12/22/13,6:22PM,Adoption,Foster,Dog,Spayed Female,2 months,German Shepherd Mix,Brown,60
A669159,*Ghost,12/22/13,6:29PM,Adoption,,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Brown Tabby/White,270
A669273,*Bijou,12/22/13,6:45PM,Adoption,,Dog,Spayed Female,8 months,Miniature Pinscher Mix,Black/Tan,240
A669557,,12/22/13,6:54PM,Return to Owner,,Dog,Neutered Male,1 year,English Springer Spaniel,Brown/White,365
A669075,*Timmy,12/22/13,7:02PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,60
A668816,,12/22/13,7:20PM,Adoption,,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Black/Brown,730
A667753,*Dexter,12/22/13,7:32PM,Adoption,,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Brown,365
A669007,*Shrek,12/22/13,11:32PM,Transfer,Partner,Cat,Intact Male,6 months,Domestic Longhair Mix,Black,180
A669005,*Fiona,12/22/13,11:32PM,Transfer,Partner,Cat,Intact Female,6 months,Domestic Longhair Mix,Brown Tabby,180
A669014,Pinky,12/22/13,11:37PM,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,2555
A665314,*Luke,12/22/13,11:37PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,120
A669559,,12/23/13,9:38AM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Brown,180
A551426,Lluvia,12/23/13,11:00AM,Euthanasia,Behavior,Dog,Spayed Female,8 years,Cocker Spaniel,Buff/White,2920
A646814,Woody,12/23/13,11:08AM,Return to Owner,,Dog,Neutered Male,2 years,German Shepherd/Black/Tan Hound,Black/Tan,730
A667914,*Jason,12/23/13,11:26AM,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby/White,90
A669006,*Matthew,12/23/13,11:27AM,Transfer,Partner,Cat,Intact Male,1 year,Domestic Longhair Mix,Black,365
A669114,*Joe,12/23/13,11:27AM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,90
A669115,*Perfect,12/23/13,11:28AM,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/Blue Cream,90
A669541,Lilly,12/23/13,11:33AM,Return to Owner,,Dog,Spayed Female,2 years,Pomeranian,Red,730
A603815,*Franklin,12/23/13,11:39AM,Return to Owner,,Dog,Neutered Male,4 years,Dogue De Bordeaux/American Bulldog,Red/White,1460
A647854,Kona,12/23/13,12:00PM,Adoption,,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Tan,330
A666718,Roscoe,12/23/13,12:18PM,Adoption,,Dog,Neutered Male,1 year,Pointer Mix,Chocolate/White,365
A669398,Cinnamon,12/23/13,12:42PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,730
A669399,Sugar,12/23/13,12:42PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,730
A609618,Holly Berry,12/23/13,12:44PM,Transfer,Partner,Dog,Intact Female,4 years,Shih Tzu Mix,White/Brown,1460
A667779,Dottie,12/23/13,12:50PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull/Pug,White/Black,730
A669232,*Cliff,12/23/13,12:52PM,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black,300
A665937,*Rusty,12/23/13,12:57PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,730
A669569,Chase,12/23/13,1:03PM,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,730
A667228,Maggie,12/23/13,1:18PM,Adoption,Foster,Dog,Spayed Female,2 years,Australian Shepherd Mix,Red/Tricolor,730
A667852,*Biscuit,12/23/13,1:31PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,90
A668306,,12/23/13,1:53PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Red,60
A669561,,12/23/13,1:58PM,Euthanasia,Suffering,Dog,Intact Male,5 years,Doberman Pinsch Mix,Red/Tan,1825
A669563,Killer,12/23/13,1:59PM,Euthanasia,Suffering,Dog,Intact Male,2 years,Pit Bull Mix,Fawn/White,730
A669372,Maya,12/23/13,2:12PM,Adoption,,Dog,Spayed Female,9 months,Pug Mix,Sable/White,270
A669580,Biscuit,12/23/13,2:49PM,Euthanasia,Suffering,Dog,Spayed Female,13 years,Labrador Retriever/Chow Chow,Tan,4745
A667245,*Rosco,12/23/13,2:57PM,Adoption,,Dog,Neutered Male,8 months,Boston Terrier/Pointer,White/Black,240
A624298,Boudreaux,12/23/13,3:04PM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,Blue/White,730
A668012,*Baxter,12/23/13,3:27PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A669589,,12/23/13,3:52PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Brown/Black,365
A668905,,12/23/13,4:15PM,Adoption,,Dog,Spayed Female,2 years,Boxer Mix,Red/White,730
A522774,Max,12/23/13,4:45PM,Return to Owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair,Tricolor,2555
A669293,*Mini Mouse,12/23/13,4:49PM,Adoption,,Dog,Spayed Female,4 years,Newfoundland/Labrador Retriever,Black/Brown,1460
A668546,Harvey,12/23/13,4:52PM,Adoption,,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Blue Tabby,365
A666979,*Izzy,12/23/13,5:06PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,90
A666980,*Donald,12/23/13,5:06PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,90
A669347,Blue,12/23/13,5:19PM,Adoption,,Cat,Neutered Male,1 year,Ragdoll Mix,Seal Point,365
A669193,Daisy,12/23/13,5:22PM,Return to Owner,,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White,365
A669603,*Gimpy Cb,12/23/13,5:27PM,Euthanasia,Suffering,Cat,Intact Female,4 months,Siamese Mix,Flame Point,120
A668976,Smokey,12/23/13,5:28PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown,1095
A667917,*Juliette,12/23/13,5:30PM,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie/Blue Cream,90
A669463,Bailey,12/23/13,5:43PM,Return to Owner,,Dog,Neutered Male,12 years,Rat Terrier/Chihuahua Shorthair,White/Brown,4380
A669513,Rocko,12/23/13,5:47PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,730
A664578,Rufus,12/23/13,5:47PM,Return to Owner,,Dog,Neutered Male,4 years,Pit Bull,Black Brindle/White,1460
A669362,,12/23/13,5:49PM,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Chocolate,120
A669338,Moog,12/23/13,6:01PM,Adoption,,Cat,Neutered Male,8 months,Domestic Medium Hair Mix,White,240
A669365,Daisy,12/23/13,6:03PM,Adoption,,Dog,Spayed Female,5 months,Boxer Mix,Brown/White,150
A669116,*Turner,12/23/13,6:05PM,Adoption,,Dog,Neutered Male,1 year,Golden Retriever Mix,Gold/White,365
A664037,*Halloween,12/23/13,6:07PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby/White,90
A598741,Bella,12/23/13,6:11PM,Return to Owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair,Black/Tan,1825
A666887,*Izz,12/23/13,6:23PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,90
A669606,Marley,12/23/13,6:23PM,Transfer,Partner,Dog,Intact Male,7 months,Dachshund Longhair Mix,Tan/White,210
A669508,Tilly,12/23/13,6:24PM,Adoption,,Dog,Spayed Female,3 years,Affenpinscher Mix,Black/White,1095
A669097,Kona,12/23/13,6:29PM,Adoption,,Dog,Spayed Female,9 months,Catahoula Mix,Tan/White,270
A669506,Buddy,12/23/13,6:36PM,Return to Owner,,Dog,Neutered Male,2 years,Beagle Mix,Tricolor,730
A669545,Midnight,12/23/13,6:37PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Black,60
A668137,*Gus,12/23/13,6:42PM,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown Brindle,60
A669264,Scruffy,12/23/13,6:43PM,Adoption,,Dog,Neutered Male,10 months,Border Terrier/Yorkshire Terrier,Black/Brown,300
A626165,*Dorian,12/23/13,6:50PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,365
A668139,*Holly,12/23/13,6:53PM,Adoption,Foster,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Brown Brindle,60
A666589,*Marvin,12/23/13,7:01PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60
A669542,,12/23/13,7:11PM,Adoption,,Dog,Neutered Male,2 months,Cocker Spaniel Mix,Brown,60
A669166,Lordrassilon,12/23/13,7:12PM,Adoption,,Dog,Neutered Male,10 months,Dachshund Mix,Tricolor,300
A667624,*Elinor,12/23/13,7:21PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A669612,,12/23/13,7:58PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Gray/Black,365
A656067,Nala,12/24/13,10:57AM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/Black,730
A638296,*Starla,12/24/13,11:10AM,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Chocolate,365
A669570,Lesser,12/24/13,11:13AM,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow,1460
A669609,,12/24/13,11:16AM,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,60
A669610,,12/24/13,11:16AM,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,60
A669611,,12/24/13,11:16AM,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,60
A662138,Dixie,12/24/13,11:23AM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Cream/White,365
A646964,*Lovely,12/24/13,11:35AM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,365
A661086,Susie,12/24/13,11:38AM,Adoption,,Dog,Spayed Female,1 year,Plott Hound Mix,Brown Brindle,365
A652840,Zooey,12/24/13,11:40AM,Adoption,,Dog,Spayed Female,1 year,German Shepherd/Australian Cattle Dog,Red Tick,365
A669423,*Jingle,12/24/13,11:56AM,Transfer,Partner,Other,Unknown,8 months,Rabbit Sh Mix,Tortie,240
A667654,*Eeyore,12/24/13,11:57AM,Adoption,Foster,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Blue/White,730
A669600,,12/24/13,12:10PM,Adoption,,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Blue,180
A669544,Kato,12/24/13,12:12PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Chocolate,60
A666872,*Levi,12/24/13,12:14PM,Adoption,,Dog,Neutered Male,2 years,Border Collie Mix,Chocolate/White,730
A668031,*Simba,12/24/13,12:20PM,Adoption,,Dog,Neutered Male,2 years,Rhod Ridgeback,Red,730
A664340,Butter,12/24/13,12:31PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,120
A665179,*Freckles,12/24/13,12:31PM,Transfer,Partner,Dog,Spayed Female,1 year,Pointer/Australian Cattle Dog,White/Red Tick,365
A631824,Jasmine,12/24/13,12:35PM,Adoption,Foster,Dog,Spayed Female,3 years,Miniature Poodle,White,1095
A669458,Shelby,12/24/13,12:37PM,Adoption,,Dog,Intact Female,2 months,German Shepherd Mix,Black/Tan,60
A665088,*Helen,12/24/13,12:48PM,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,90
A665318,*Hubert,12/24/13,12:49PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White,90
A660037,*Sunflower,12/24/13,12:51PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,365
A669488,Buffy,12/24/13,12:51PM,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby/White,150
A669307,King Richard,12/24/13,12:51PM,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,365
A664180,*Sidney,12/24/13,12:52PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,365
A666820,Tolouse,12/24/13,12:53PM,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Black,730
A662260,*Todd,12/24/13,12:54PM,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,150
A669461,Kahlua,12/24/13,12:54PM,Euthanasia,Suffering,Dog,Intact Female,13 years,Boxer/Pit Bull,Brown/White,4745
A669144,*Russell,12/24/13,12:55PM,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Longhair Mix,Blue Tabby,365
A667516,*Dark Knight,12/24/13,12:55PM,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black Smoke,730
A662261,*Kim,12/24/13,12:55PM,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Black/White,150
A664737,Jack,12/24/13,12:58PM,Adoption,,Dog,Neutered Male,3 years,Canaan Dog/Pit Bull,Red/White,1095
A666981,*Goofy,12/24/13,1:15PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,90
A664505,Tifa,12/24/13,1:16PM,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Orange Tabby/White,1460
A667915,Andy,12/24/13,1:23PM,Adoption,,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,90
A663069,Cosmo,12/24/13,1:31PM,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,150
A663070,*Edith,12/24/13,1:31PM,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie,150
A666212,*Clyde,12/24/13,2:14PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,90
A667850,*Sissy,12/24/13,2:41PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,90
A669177,Ally,12/24/13,2:43PM,Adoption,,Dog,Intact Female,9 months,Labrador Retriever/Staffordshire,Black/White,270
A669422,*Tigger,12/24/13,2:51PM,Adoption,,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White,365
A669245,Bo,12/24/13,2:54PM,Return to Owner,,Dog,Spayed Female,1 year,Boxer Mix,Black/White,365
A669534,,12/24/13,3:03PM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,365
A669578,,12/24/13,3:03PM,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby,730
A631527,Pulguso,12/24/13,3:08PM,Transfer,Partner,Dog,Neutered Male,2 years,Swedish Vallhund Mix,Black/Tan,730
A669363,Stephanie,12/24/13,3:09PM,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,White/Black,60
A669497,Bella,12/24/13,3:13PM,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,Black/Tricolor,730
A669413,,12/24/13,3:14PM,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor,365
A667277,Sylvester,12/24/13,3:15PM,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black/White,730
A664338,*J,12/24/13,3:16PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,120
A664339,*Trey,12/24/13,3:18PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair,Black,120
A667419,Princess,12/24/13,3:18PM,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Sable/Tan,365
A669537,Layla,12/24/13,3:23PM,Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,Tan/Black,730
A669279,Sagan,12/24/13,3:33PM,Adoption,,Dog,Neutered Male,10 months,Anatol Shepherd Mix,Tricolor,300
A669667,,12/24/13,3:34PM,Euthanasia,Suffering,Dog,Intact Female,2 years,Australian Cattle Dog Mix,White/Black,730
A669543,Harley,12/24/13,3:41PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Chocolate,60
A669143,Skippy,12/24/13,3:41PM,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,30
A669376,,12/24/13,3:42PM,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,730
A669460,Pancho,12/24/13,3:46PM,Adoption,,Dog,Neutered Male,2 years,Pomeranian/Border Terrier,Buff,730
A669669,,12/24/13,3:51PM,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown,730
A603830,*Trooper,12/24/13,3:54PM,Adoption,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,1460
A669222,Bartleby,12/24/13,3:55PM,Adoption,,Dog,Neutered Male,4 years,Boston Terrier/Rat Terrier,Brown Brindle/White,1460
A667849,*Pumpkin,12/24/13,4:03PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,90
A669408,Sasha,12/24/13,4:07PM,Adoption,,Dog,Spayed Female,3 months,Border Collie Mix,Chocolate/White,90
A669411,Gypsy,12/24/13,4:13PM,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,White,60
A669576,,12/24/13,4:29PM,Euthanasia,Suffering,Cat,Intact Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,2920
A668646,Lotus,12/24/13,4:42PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,60
A669619,Lucy,12/24/13,4:59PM,Adoption,,Dog,Spayed Female,1 year,Bruss Griffon Mix,Gray/White,365
A669127,Chewy,12/24/13,5:03PM,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan,730
A669621,,12/25/13,9:47AM,Transfer,Partner,Dog,Intact Female,4 months,Plott Hound Mix,Brown Brindle/Black,120
A669689,,12/25/13,9:51AM,Transfer,Partner,Cat,Intact Female,1 day,Domestic Shorthair Mix,Calico,1
A669690,,12/25/13,9:51AM,Transfer,Partner,Cat,Intact Female,1 day,Domestic Shorthair Mix,Calico,1
A669691,,12/25/13,10:44AM,Transfer,Partner,Cat,Intact Female,1 month,Siamese Mix,Lynx Point,30
A669485,Shades,12/25/13,12:14PM,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull/St. Bernard Smooth Coat,White/Black,730
A669693,,12/25/13,3:31PM,Euthanasia,Suffering,Other,Unknown,6 months,Squirrel Mix,Brown,180
A669697,,12/25/13,8:41PM,Euthanasia,Suffering,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown,730
A655501,*Lucy,12/26/13,8:25AM,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,365
A665661,*Jane,12/26/13,9:31AM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,White/Black,120
A665212,*Lonnie,12/26/13,9:56AM,Adoption,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown/White,1460
A669459,,12/26/13,10:14AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,730
A667690,*Chester,12/26/13,11:11AM,Transfer,Partner,Dog,Neutered Male,8 months,Pit Bull Mix,Black/White,240
A669692,Tex,12/26/13,11:55AM,Return to Owner,,Dog,Intact Male,1 year,Weimaraner Mix,Fawn/White,365
A667184,Bingo,12/26/13,11:57AM,Adoption,,Dog,Neutered Male,1 year,Belgian Malinois Mix,Tan/Cream,365
A611682,Estrella,12/26/13,12:01PM,Return to Owner,,Dog,Intact Female,2 years,Miniature Poodle Mix,Gray,730
A669695,Lala,12/26/13,12:50PM,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,730
A669696,Spazmatic,12/26/13,12:50PM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Tricolor,730
A667719,*Mister,12/26/13,1:05PM,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby,180
A647238,Lily,12/26/13,1:34PM,Transfer,Partner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black,1095
A669556,,12/26/13,2:02PM,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Longhair Mix,Black,30
,,,,,,,,,,,
A667300,*Jones,12/26/13,2:55PM,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,730
A669013,Lightning,12/26/13,3:23PM,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,2555
A669694,Chichi,12/26/13,3:32PM,Return to Owner,,Dog,Spayed Female,1 year,Australian Shepherd Mix,White/Black,365
A668664,Ex,12/26/13,3:38PM,Adoption,,Dog,Neutered Male,10 months,American Bulldog Mix,White/Black,300
A668553,*Rosemary,12/26/13,3:53PM,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,365
A669659,Frank,12/26/13,4:11PM,Return to Owner,,Dog,Intact Male,4 years,Pit Bull Mix,Brown/White,1460
A651873,Rusty,12/26/13,4:37PM,Transfer,Partner,Dog,Neutered Male,5 years,Dachshund Mix,Red,1825
A658799,*Tiny,12/26/13,4:50PM,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,150
